Sex,height,mass,Sport,Club,club_1,club_2,club_3,club_week,class,Testdate,School,Name,Location,Filename,Board,Admin,cohort,Inclusion,S20,BPT,SLJ,OLB,Star,Run,note,Birthdate,Child,District
w,140,39,nein,ja,Basketball,Schwimmen,Handball,dreimal,3,2022-12-01T00:00:00Z,10028,Wilhelm-Busch-Schule Altenburg Staatliche Grundschule,Altenburg,./22raw/10028_Wilhelm_Busch_Schule_Altenburg.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,nein,4.4,4.3,119,60,33.5,1026,keine,2014-01-15T00:00:00Z,C000001,Landkreis Altenburger Land
m,134,30,ja,nein,NA,NA,NA,--wählen--,3,2022-12-01T00:00:00Z,10028,Wilhelm-Busch-Schule Altenburg Staatliche Grundschule,Altenburg,./22raw/10028_Wilhelm_Busch_Schule_Altenburg.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,nein,4,4.7,135,56,21.7,846,keine,2014-02-21T00:00:00Z,C000002,Landkreis Altenburger Land
w,NA,NA,nein,nein,NA,NA,NA,--wählen--,3,2022-12-01T00:00:00Z,10028,Wilhelm-Busch-Schule Altenburg Staatliche Grundschule,Altenburg,./22raw/10028_Wilhelm_Busch_Schule_Altenburg.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,Sprache,4.6,3.4,105,38,43.9,0,keine,NA,C000003,Landkreis Altenburger Land
m,136,27,nein,ja,Fussball,NA,NA,zweimal,3,2022-12-01T00:00:00Z,10028,Wilhelm-Busch-Schule Altenburg Staatliche Grundschule,Altenburg,./22raw/10028_Wilhelm_Busch_Schule_Altenburg.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,nein,3.8,4.9,147,53,22,927,keine,2013-06-05T00:00:00Z,C000004,Landkreis Altenburger Land
m,131,26,nein,nein,NA,NA,NA,--wählen--,3,2022-12-01T00:00:00Z,10028,Wilhelm-Busch-Schule Altenburg Staatliche Grundschule,Altenburg,./22raw/10028_Wilhelm_Busch_Schule_Altenburg.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,Sprache,4,5,145,60,37.2,882,keine,2013-11-01T00:00:00Z,C000005,Landkreis Altenburger Land
w,132,26,ja,nein,NA,NA,NA,--wählen--,3,2022-12-01T00:00:00Z,10028,Wilhelm-Busch-Schule Altenburg Staatliche Grundschule,Altenburg,./22raw/10028_Wilhelm_Busch_Schule_Altenburg.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,nein,3.9,4.5,170,39,21.4,1143,keine,2013-11-30T00:00:00Z,C000006,Landkreis Altenburger Land
m,NA,NA,ja,nein,NA,NA,NA,--wählen--,3,2022-12-01T00:00:00Z,10028,Wilhelm-Busch-Schule Altenburg Staatliche Grundschule,Altenburg,./22raw/10028_Wilhelm_Busch_Schule_Altenburg.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,nein,4.7,5,110,11,32.8,819,keine,2014-01-14T00:00:00Z,C000007,Landkreis Altenburger Land
w,140,38,ja,nein,NA,NA,NA,--wählen--,3,2022-12-01T00:00:00Z,10028,Wilhelm-Busch-Schule Altenburg Staatliche Grundschule,Altenburg,./22raw/10028_Wilhelm_Busch_Schule_Altenburg.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,Sprache,4.8,4.2,115,49,34.3,783,keine,2012-03-01T00:00:00Z,C000008,Landkreis Altenburger Land
w,145,50,nein,nein,NA,NA,NA,--wählen--,3,2022-12-01T00:00:00Z,10028,Wilhelm-Busch-Schule Altenburg Staatliche Grundschule,Altenburg,./22raw/10028_Wilhelm_Busch_Schule_Altenburg.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,geistige Entwicklung,4.7,4.8,125,28,30.5,981,keine,2013-06-11T00:00:00Z,C000009,Landkreis Altenburger Land
m,137,31,ja,ja,Kampfsport,NA,NA,dreimal,3,2022-12-01T00:00:00Z,10028,Wilhelm-Busch-Schule Altenburg Staatliche Grundschule,Altenburg,./22raw/10028_Wilhelm_Busch_Schule_Altenburg.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,Sprache,3.8,5.5,165,11,19.8,1107,keine,2013-10-08T00:00:00Z,C000010,Landkreis Altenburger Land
m,140,30,nein,ja,Fussball,NA,NA,dreimal,3,2022-12-01T00:00:00Z,10028,Wilhelm-Busch-Schule Altenburg Staatliche Grundschule,Altenburg,./22raw/10028_Wilhelm_Busch_Schule_Altenburg.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,nein,3.8,5.3,132,60,24.5,837,keine,2013-11-20T00:00:00Z,C000011,Landkreis Altenburger Land
m,NA,NA,ja,nein,NA,NA,NA,--wählen--,3,2022-12-01T00:00:00Z,10028,Wilhelm-Busch-Schule Altenburg Staatliche Grundschule,Altenburg,./22raw/10028_Wilhelm_Busch_Schule_Altenburg.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,Sprache,3.8,3.3,135,60,28.3,1107,keine,2014-06-30T00:00:00Z,C000012,Landkreis Altenburger Land
w,NA,30,nein,nein,NA,NA,NA,--wählen--,3,2022-12-01T00:00:00Z,10028,Wilhelm-Busch-Schule Altenburg Staatliche Grundschule,Altenburg,./22raw/10028_Wilhelm_Busch_Schule_Altenburg.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,Sprache,4.4,3.7,113,23,24.8,1098,keine,2013-11-28T00:00:00Z,C000013,Landkreis Altenburger Land
