"","address","latitude","longitude","Year","Month","Day","Time","...6","Board","Type"
"1","Altenburg",50.98447,12.4336500000001,"2022","06","11","09-16 Uhr","Teichareal","KSB Altenburger Land e.V.","Tage des Sports und der Gesundheitsförderung "
"2","Altenburg",50.98447,12.4336500000001,"2019","06","22","10-16 Uhr","Nobitz-Flughafen","KSB Altenburger Land e.V.","Tage des Sports und der Gesundheitsförderung "
"3","Altenburg",50.98447,12.4336500000001,"2023","06","10","09:00  -15:00 Uhr","Großer Teich - Höhe Inselzoo","KSB Altenburger Land e.V.","Tage des Sports und der Gesundheitsförderung "
"4","Apolda",51.02358,11.50949,"2018","06","06","13:00-16:00 ","Sportpark","Weimarer Land","Tage des Sports und der Gesundheitsförderung "
"5","Apolda",51.02358,11.50949,"2021","12","04","10-13 Uhr","Dreifelderhalle am Sportpark","KSB Weimarer Land","Tage des Sports und der Gesundheitsförderung "
"6","Apolda",51.02358,11.50949,"2019","06","29","10-15 Uhr","Sportpark","KSB Weimarer Land e.V.","Tage des Sports und der Gesundheitsförderung "
"7","Apolda",51.02358,11.50949,"2023","06","17","10:00 - 15:00 Uhr","Freibad","KSB Weimarer Land e.V.","Tage des Sports und der Gesundheitsförderung "
"8","Apolda",51.02358,11.50949,"2022","07","02","10-15 Uhr","Freibad","KSB Weimarer Land e.V.","Tage des Sports und der Gesundheitsförderung "
"9","Arnstadt",50.8355100000001,10.9488200000001,"2023","07","01","10:00 -16:00 Uhr","Friedrich-Ludwig-Jahn-Sportplatz","Ilm-Kreis","Tage des Sports und der Gesundheitsförderung "
"10","Arnstadt",50.8355100000001,10.9488200000001,"2022","07","09","10-16 Uhr","Jahn-Stadion","KSB Ilm-Kreis e.V.","Tage des Sports und der Gesundheitsförderung "
"11","Bad Berka",50.8989300000001,11.28247,"2021","09","11","10-14 Uhr","Kurpark","KSB Weimarer Land","Tage des Sports und der Gesundheitsförderung "
"12","Bad Frankenhausen",51.35609,11.09977,"2023","06","01",NA,"Kurstadtgrundschule","KSB Kyffhäuser e.V.","Tage des Sports und der Gesundheitsförderung "
"13","Bad Liebenstein",50.81881,10.3445800000001,"2019","05","09","14-16:30 Uhr","Grundschule","KSB Bad Salzungen e.V.","Tage des Sports und der Gesundheitsförderung "
"14","Bad Salzungen",50.81188,10.23195,"2022","06","09","09-14 Uhr","Werner-Seelenbinder-SH","KSB Bad Salzungen e.V.","Tage des Sports und der Gesundheitsförderung "
"15","Bad Salzungen",50.81188,10.23195,"2023","06","08","09:00 - 12:00 Uhr","W.-Seelenbinder-Sporthalle","KSB Bad Salzungen e.V.","Tage des Sports und der Gesundheitsförderung "
"16","Bad Sulza",51.0900100000001,11.62544,"2022","09","03","10-15 Uhr","Kurpark","KSB Weimarer Land e.V.","Tage des Sports und der Gesundheitsförderung "
"17","Bad Sulza",51.0900100000001,11.62544,"2019","09","07","10-15 Uhr","Kurpark","KSB Weimarer Land e.V.","Tage des Sports und der Gesundheitsförderung "
"18","Berlstedt",51.06206,11.2435600000001,"2023","06","02","14:00 - 18:00 Uhr","Sportplatz","KSB Weimarer Land e.V.","Tage des Sports und der Gesundheitsförderung "
"19","Berlstedt",51.06206,11.2435600000001,"2018","06","14","13:00-15:30","Sporthalle der GS/RS","Weimarer Land","Tage des Sports und der Gesundheitsförderung "
"20","Dingelstädt",51.3137600000001,10.3193900000001,"2023","05","19","15:00 - 17:00 Uhr","Guts-Muths-Stadion","KSB Eichsfeld e.V.","Tage des Sports und der Gesundheitsförderung "
"21","Eisenach",50.97439,10.3254200000001,"2019","06","08","10-13 Uhr","Werner-Aßmann-Halle","KSB Eisenach e.V.","Tage des Sports und der Gesundheitsförderung "
"22","Eisenach",50.97439,10.3254200000001,"2022","07","09","10-13 Uhr","Werner-Aßmann-Halle","KSB Eisenach e.V.","Tage des Sports und der Gesundheitsförderung "
"23","Eisenach",50.97439,10.3254200000001,"2023","06","24","10:00 - 14:00 Uhr","Werner-Aßmann-Halle","KSB Eisenach e.V.","Tage des Sports und der Gesundheitsförderung "
"24","Erfurt",50.9779300000001,11.02351,"2022","06","11",NA,NA,"Mittelthüringen","Talentiade"
"25","Erfurt",50.9779300000001,11.02351,"2023","03","25",NA,NA,"Mittelthüringen","Talentiade"
"26","Erfurt",50.9779300000001,11.02351,"2023","06","15","15:30 - 18:30 Uhr","Sportplatz Essener Str.","SSB Erfurt e.V.","Tage des Sports und der Gesundheitsförderung "
"27","Erfurt",50.9779300000001,11.02351,"2018","06","25","14:00-17:00 ","Grundschule Astrid-Lindgren","Erfurt","Tage des Sports und der Gesundheitsförderung "
"28","Erfurt",50.9779300000001,11.02351,"2019","05","01","10-16 Uhr","Anger","SSB Erfurt e.V.","Tage des Sports und der Gesundheitsförderung "
"29","Erfurt",50.9779300000001,11.02351,"2022","05","01","10-16 Uhr","Domplatz","SSB Erfurt e.V.","Tage des Sports und der Gesundheitsförderung "
"30","Gera",50.87859,12.0779400000001,"2022","07","16","10-16 Uhr","Markplatz","SSB Gera e.V.","Tage des Sports und der Gesundheitsförderung "
"31","Gera",50.87859,12.0779400000001,"2019","05","25","10-16 Uhr","Hofwiesenpark","SSB Gera e.V.","Tage des Sports und der Gesundheitsförderung "
"32","Gera",50.87859,12.0779400000001,"2023","04","29","10:00 - 16:00 Uhr","Hofwiesenpark","SSB Gera e.V.","Tage des Sports und der Gesundheitsförderung "
"33","Gotha",50.9498300000001,10.70858,"2023","06","10","10:00 - 14:00 Uhr","Volkspartkstadion","KSB Gotha","Tage des Sports und der Gesundheitsförderung "
"34","Gotha",50.9498300000001,10.70858,"2018","08","29","09.00-12.00","Volksparkstadion Gotha","Gotha","Tage des Sports und der Gesundheitsförderung "
"35","Greußen",51.23141,10.94536,"2023","05","01","10:00 - 16:00 Uhr","Neustadt 36 Sportplatz","KSB Kyffhäuser e.V.","Tage des Sports und der Gesundheitsförderung "
"36","Heilbad Heiligenstadt/Thüringen",51.37685,10.1365500000001,"2023","04","29","10:00 - 13:00 Uhr","Lorenz-Kellner-Halle + Vitalbad","KSB Eichsfeld e.V.","Tage des Sports und der Gesundheitsförderung "
"37","Hermsdorf/Thür.",50.8983600000001,11.85502,"2022","07","17","10-16 Uhr","Werner-Seelenbinder-SH","KSB Saale-Holzland e.V.","Tage des Sports und der Gesundheitsförderung "
"38","Hermsdorf/Thür.",50.8983600000001,11.85502,"2019","06","01","10-16 Uhr","Werner-Seelenbinder-SH","KSB Saale-Holzland e.V.","Tage des Sports und der Gesundheitsförderung "
"39","Hildburghausen",50.4337525940001,10.7341802190001,"2023","05","06","09:30 - 12:00 Uhr","Werrathalhalle","KSB Hildburghausen e.V.","Tage des Sports und der Gesundheitsförderung "
"40","Hildburghausen",50.4337525940001,10.7341802190001,"2022","05","22","9:30-12 Uhr","Werrathalhalle","KSB Hildburghausen e.V.","Tage des Sports und der Gesundheitsförderung "
"41","Hildburghausen",50.4337525940001,10.7341802190001,"2018","06","03","10.00-13.00","Sporthalle Werratal, ","Hildburghausen","Tage des Sports und der Gesundheitsförderung "
"42","Hildburghausen",50.4337525940001,10.7341802190001,"2019","06","22","9:30-12 Uhr","Werrathalhalle","KSB Hildburghausen e.V.","Tage des Sports und der Gesundheitsförderung "
"43","Jena",50.9269600000001,11.5863400000001,"2021","09","25","09-14 Uhr","Sporthallenkomplex Lobenda West","SSB Jena","Tage des Sports und der Gesundheitsförderung "
"44","Jena",50.9269600000001,11.5863400000001,"2023","05","06","09:30 - 15:00 Uhr","Sporthallenkomplex Lobeda","SSB Jena e.V.","Tage des Sports und der Gesundheitsförderung "
"45","Jena",50.9269600000001,11.5863400000001,"2023","06","10",NA,NA,"Ostthüringen","Talentiade"
"46","Jena",50.9269600000001,11.5863400000001,"2022","05","21","10-13 Uhr","Sporthallenkomplex Lobeda","SSB Jena e.V.","Tage des Sports und der Gesundheitsförderung "
"47","Jena",50.9269600000001,11.5863400000001,"2019","06","15","10-13 Uhr","Sporthallenkomplex Lobeda","SSB Jena e.V.","Tage des Sports und der Gesundheitsförderung "
