"Name","School","lat","lon","PLZ","Location","School.Type","Board","Board.Type","District","Admin","AGS","AGS.Name","Großstadtregionaler.Einzugsbereich","Stadt.und.Gemeindetyp","BBSR.Mittelbereiche","RegioStar2","RegioStar5","RegioStar7","RegioStar17","Raumtyp","Wachsen.Schrumpfen"
"Schule am Zoopark, Staatliches regionales Förderzentrum Erfurt, Förderschwerpunkt geistige Entwicklung",31879,51.0190200065351,11.0340000367882,99087,"Erfurt","Förderschule","Landeshauptstadt Erfurt","staatlich","Erfurt, Stadt","Staatliches Schulamt Mittelthüringen",16051000,"Erfurt, Stadt","Zentrum","Großstadt","Erfurt","Stadtregion","Regiopole und Großstadt","Stadtregion - Regiopole und Großstadt","Regiopolitane Stadtregion - Regiopole","zentral","wachsend"
"Aktiv-Schule Erfurt, Freie Gemeinschaftsschule",75007,50.943820001997,11.0856199874941,99097,"Erfurt","Thüringer Gemeinschaftsschule","GoBi - Gothaer Bildungsgesellschaft mbH","in freier Trägerschaft","Erfurt, Stadt","Staatliches Schulamt Mittelthüringen",16051000,"Erfurt, Stadt","Zentrum","Großstadt","Erfurt","Stadtregion","Regiopole und Großstadt","Stadtregion - Regiopole und Großstadt","Regiopolitane Stadtregion - Regiopole","zentral","wachsend"
"Gemeinschaftsschule am Roten Berg Erfurt, Staatliche Gemeinschaftsschule",45011,51.016779984821,11.0197900286968,99087,"Erfurt","Thüringer Gemeinschaftsschule","Landeshauptstadt Erfurt","staatlich","Erfurt, Stadt","Staatliches Schulamt Mittelthüringen",16051000,"Erfurt, Stadt","Zentrum","Großstadt","Erfurt","Stadtregion","Regiopole und Großstadt","Stadtregion - Regiopole und Großstadt","Regiopolitane Stadtregion - Regiopole","zentral","wachsend"
"Staatliche Integrierte Gesamtschule Erfurt",40517,50.9946600166125,11.0310600004304,99086,"Erfurt","Integrierte Gesamtschule","Landeshauptstadt Erfurt","staatlich","Erfurt, Stadt","Staatliches Schulamt Mittelthüringen",16051000,"Erfurt, Stadt","Zentrum","Großstadt","Erfurt","Stadtregion","Regiopole und Großstadt","Stadtregion - Regiopole und Großstadt","Regiopolitane Stadtregion - Regiopole","zentral","wachsend"
"""Barfüßerschule"" Erfurt Staatliche Grundschule",18606,50.9761200011597,11.0306699904756,99084,"Erfurt","Grundschule","Landeshauptstadt Erfurt","staatlich","Erfurt, Stadt","Staatliches Schulamt Mittelthüringen",16051000,"Erfurt, Stadt","Zentrum","Großstadt","Erfurt","Stadtregion","Regiopole und Großstadt","Stadtregion - Regiopole und Großstadt","Regiopolitane Stadtregion - Regiopole","zentral","wachsend"
"Evangelische Gemeinschaftsschule Erfurt",75018,50.98948000045,11.0386000252508,99085,"Erfurt","Thüringer Gemeinschaftsschule","Evangelische Schulstiftung in Mitteldeutschland","in freier Trägerschaft","Erfurt, Stadt","Staatliches Schulamt Mittelthüringen",16051000,"Erfurt, Stadt","Zentrum","Großstadt","Erfurt","Stadtregion","Regiopole und Großstadt","Stadtregion - Regiopole und Großstadt","Regiopolitane Stadtregion - Regiopole","zentral","wachsend"
"Staatliche Grundschule Thomas Mann Erfurt",18473,50.984329991501,11.0484100370893,99085,"Erfurt","Grundschule","Landeshauptstadt Erfurt","staatlich","Erfurt, Stadt","Staatliches Schulamt Mittelthüringen",16051000,"Erfurt, Stadt","Zentrum","Großstadt","Erfurt","Stadtregion","Regiopole und Großstadt","Stadtregion - Regiopole und Großstadt","Regiopolitane Stadtregion - Regiopole","zentral","wachsend"
"Bechsteinschule Erfurt Staatliche Grundschule",18503,50.994400009976,11.0239300183132,99089,"Erfurt","Grundschule","Landeshauptstadt Erfurt","staatlich","Erfurt, Stadt","Staatliches Schulamt Mittelthüringen",16051000,"Erfurt, Stadt","Zentrum","Großstadt","Erfurt","Stadtregion","Regiopole und Großstadt","Stadtregion - Regiopole und Großstadt","Regiopolitane Stadtregion - Regiopole","zentral","wachsend"
"John F. Kennedy School Erfurt",75010,50.9638600009325,11.0573700401268,99099,"Erfurt","Thüringer Gemeinschaftsschule","Gemeinnützige Internationale Schulen Potsdam GmbH","in freier Trägerschaft","Erfurt, Stadt","Staatliches Schulamt Mittelthüringen",16051000,"Erfurt, Stadt","Zentrum","Großstadt","Erfurt","Stadtregion","Regiopole und Großstadt","Stadtregion - Regiopole und Großstadt","Regiopolitane Stadtregion - Regiopole","zentral","wachsend"
"Staatliche Grundschule Thomas Müntzer Möbisburg",18667,50.9249400165514,10.9916700008287,99094,"Erfurt","Grundschule","Landeshauptstadt Erfurt","staatlich","Erfurt, Stadt","Staatliches Schulamt Mittelthüringen",16051000,"Erfurt, Stadt","Zentrum","Großstadt","Erfurt","Stadtregion","Regiopole und Großstadt","Stadtregion - Regiopole und Großstadt","Regiopolitane Stadtregion - Regiopole","zentral","wachsend"
