"Schulnummer","Latitude","Longitude","Gemeinden.Kennziffer","Schulname","Grundschulen","PLZ","Ort_parsed","Strasse"
17004,51.2822199805091,10.7369499982972,16065014,"Staatliche Grundschule ""Adolph Diesterweg"" Ebeleben",1,"D-99713","Ebeleben","Adolph-Diesterweg-Straße 7"
40445,50.8450800091238,12.0719699990339,16052000,"Staatliche Integrierte Gesamtschule Gera",1,"D-07549","Gera","Ahornstraße 1-3"
45035,51.1554799886213,11.1338600195636,16068051,"Staatliche Gemeinschaftsschule ""Albert Einstein"" Sömmerda",1,"D-99610","Sömmerda","Albert-Einstein-Straße 29"
30215,50.806569983627,10.2427700023366,16063003,"Christian-Ludwig-Wucke-Schule Staatliches regionales Förderzentrum Bad Salzungen",1,"D-36433","Bad Salzungen","Albert-Schweitzer-Straße 10-12"
15980,50.6525899798854,11.3949599915161,16073077,"Staatliche Grundschule ""Am Roten Berg"" Saalfeld-Gorndorf",1,"D-07318","Saalfeld","Albert-Schweitzer-Straße 130"
25336,50.654550004124,11.3979700167654,16073077,"Staatliche Regelschule ""Albert-Schweitzer"" Saalfeld-Gorndorf",0,"D-07318","Saalfeld","Albert-Schweitzer-Straße 148"
64986,50.6020199882807,10.7088400287129,16054000,"Höhere Berufsfachschule für Gesundheits- und Krankenpflege am SRH Zentralklinikum Suhl",0,"D-98527","Suhl","Albert-Schweitzer-Straße 2"
31224,50.653910003907,11.3969999791109,16073077,"Jettina-Schule Saalfeld-Gorndorf Staatliches regionales Förderzentrum Förderschwerpunkt geistige Entwicklung",1,"D-07318","Saalfeld","Albert-Schweitzer-Straße 41"
16881,51.1542299954008,11.1340699862382,16068051,"Staatliche Grundschule ""Adolph Diesterweg"" Sömmerda",1,"D-99610","Sömmerda","Albert-Schweitzer-Straße 45"
25036,51.5481499822569,10.7652700183751,16062065,"Staatliche Regelschule Niedersachswerfen",0,"D-99768","Harztor","Albertstraße 9a"
62331,51.3682299998441,10.8731199665336,16065067,"Staatliches Berufsschulzentrum Kyffhäuserkreis",0,"D-99706","Sondershausen","Alexander-Puschkin-Promenade 22"
17182,51.3683199795747,10.8750899652369,16065067,"Staatliche Grundschule ""Käthe Kollwitz"" Sondershausen",1,"D-99706","Sondershausen","Alexander-Puschkin-Promenade 22b"
22585,50.8590600177921,10.564710018488,16067019,"Staatliche Regelschule ""Helene Lange"" Friedrichroda",0,"D-99894","Friedrichroda","Alexandrinenstraße 2"
51155,51.0165799926112,11.0263999975409,16051000,"Heinrich-Hertz-Gymnasium Erfurt Staatliches Gymnasium",0,"D-99087","Erfurt","Alfred-Delp-Ring 41"
20767,50.805130014571,9.9810999771492,16063078,"Staatliche Regelschule am Ulsterberg Unterbreizbach",0,"D-36414","Unterbreizbach","Alt Räsa 3"
10478,51.0306599973844,11.5971699690433,16071004,"Staatliche Grundschule Wormstedt",1,"D-99518","Bad Sulza","Alte Brauerei 17a"
11126,50.9430499984618,10.245020040425,16063097,"Staatliche Grundschule Förtha",1,"D-99834","Gerstungen","Alte Eisenacher Straße 55"
23924,50.4498599890852,10.8903000181961,16069058,"Staatliche Regelschule Crock",0,"D-98673","Auengrund","Alte Eisfelder Straße 9"
10855,51.3525299827347,11.1074700165109,16065003,"Kurstadt-Grundschule Bad Frankenhausen Staatliche Grundschule",1,"D-06567","Bad Frankenhausen","Alte Feldstraße 17"
17332,50.3923199839854,11.21510002353,16072024,"Staatliche Grundschule ""Dr. Martin Luther"" Judenbach",1,"D-96524","Föritztal","Alte Handelsstraße 89a"
79005,50.8783699948706,11.5900300124614,16053000,"Freie Waldorfschule Jena",1,"D-07745","Jena","Alte Hauptstraße 15"
24779,50.5266499987462,11.3094800018284,16073028,"Staatliche Regelschule ""Christoph Ullrich von Pappenheim"" Gräfenthal",0,"D-98743","Gräfenthal","Alte Straße 19"
50990,50.6648400056478,10.6675699682289,16066092,"Heinrich-Ehrhardt-Gymnasium Zella-Mehlis Staatliches Gymnasium",0,"D-98544","Zella-Mehlis","Alte Straße 69"
78150,50.9489400037326,11.6029900273322,16053000,"Staatlich anerkanntes Christliches Gymnasium Jena",0,"D-07743","Jena","Altenburger Straße 10"
14942,51.205599997754,10.4449600309343,16064046,"Nikolaischule Mühlhausen Staatliche Grundschule",1,"D-99974","Mühlhausen","Altenburgstraße 51"
64747,50.8349599925964,10.3515100247932,16063099,"Private berufsbildende Schule der Akademie für Gesundheits- und Sozialberufe gGmbH",0,"D-36448","Bad Liebenstein","Altenstein 9"
45237,50.9747200137818,10.3405299830905,16056000,"Oststadtschule Eisenach Staatliche Gemeinschaftsschule",1,"D-99817","Eisenach","Altstadtstraße 30"
14399,51.1189099965239,10.5794400398524,16064058,"Staatliche Grundschule Schönstedt",1,"D-99947","Schönstedt","Am alten Sportplatz 1"
64297,51.301490017819,11.1845299653637,16065088,"Freie berufliche Schule für Therapie, Pädagogik und Pflege",0,"D-06577","An der Schmücke","Am Bahnhof 12-13"
75520,51.3028900051969,11.1863200046058,16065088,"Freie Gemeinschaftsschule ""Armin Mueller-Stahl""",1,"D-06577","An der Schmücke","Am Bahnhof 22/23"
62388,50.5749300124938,10.4268100254363,16066042,"Staatliches Berufsbildungszentrum Meiningen",0,"D-98617","Meiningen","Am Drachenberg 4"
60752,50.6857199970101,10.9436899753956,16070029,"Staatliches Berufsschulzentrum Arnstadt-Ilmenau",0,"D-98693","Ilmenau","Am Ehrenberg 1"
11499,50.939090010216,10.0709099741983,16063103,"Staatliche Grundschule Berka/Werra",1,"D-99837","Werra-Suhl-Tal","Am Felsenkeller 1"
64207,50.8735400069847,12.1110200286429,16052000,"CJD Christophorusschule Gera - Förderberufsschule",0,"D-07546","Gera","Am Ferberturm 72"
60316,51.0192000079058,10.9944200194415,16051000,"Sebastian-Lucius-Schule Erfurt Staatliche Berufsbildende Schule 1",0,"D-99091","Erfurt","Am Flüßchen 10"
16581,50.9316799887138,12.3444400226439,16077043,"Staatliche Grundschule Altkirchen",1,"D-04626","Schmölln","Am Freibad 1"
30365,50.9620200055475,11.8367299585774,16074037,"Staatliches regionales Förderzentrum Hainspitz ""Schule am See""",1,"D-07607","Hainspitz","Am Gerichtsfeld 2"
40041,50.7036200122459,10.7176199884701,16066047,"Staatliches Gymnasium Oberhof Spezialschule für Sport",0,"D-98559","Oberhof","Am Harzwald 3"
17782,50.9085000031202,11.2725400325249,16071003,"Staatliche Grundschule ""Am Hexenberg"" Bad Berka",1,"D-99438","Bad Berka","Am Hexenberg 1"
32078,50.612689983385,10.7128500150111,16054000,"Dombergschule Suhl Staatliches regionales Förderzentrum Förderschwerpunkt geistige Entwicklung",1,"D-98527","Suhl","Am Himmelreich 117"
31387,50.8845299812427,12.3460200113924,16077043,"Staatliches regionales Förderzentrum Schmölln",1,"D-04626","Schmölln","Am Kemnitzgrund 10"
12300,50.8214399827744,12.2176100091159,16076062,"Staatliche Grundschule Rückersdorf",1,"D-07580","Rückersdorf","Am Kirchberg 5"
45480,51.3677899918369,11.3029000401976,16065086,"Johann-Gottfried-Borlach-Schule Artern Staatliche Gemeinschaftsschule",1,"D-06556","Artern","Am Königstuhl 9"
64657,50.9907200192058,11.0411900333321,16051000,"Bildungswerk für Gesundheitsberufe e.V. Erfurt, Höhere Berufsfachschule und Berufsfachschule",0,"D-99085","Erfurt","Am Kühlhaus 27"
24238,50.8054400192599,11.5806799994692,16074044,"Staatliche Regelschule ""Johann Wilhelm Heimbürge"" Kahla",0,"D-07768","Kahla","Am Langen Bürgel 19"
12690,50.9018300198493,10.4663700100344,16067072,"Staatliche Grundschule Emsetal",1,"D-99880","Waltershausen","Am Langen Feld 10"
50763,50.6500899934443,11.393119996131,16073077,"Staatliches Gymnasium ""Erasmus Reinhold"" Saalfeld",0,"D-07318","Saalfeld","Am Lerchenbühl 17"
16054,50.5655934,11.453802906601,16073106,"Staatliche Grundschule Leutenberg",1,"D-07338","Leutenberg","Am Löhmberg 23a"
